adviceThoughts,sentiment_polarity,sentiment_subjectivity,total_bonus
"as soon as I won using the ai's advice, i tried to stick to it as much as possible.",0.0,1.0,1.55
Because it doesn't matter how I charge I still wont get there in under 500,0.0,0.0,0.0
I made sure to not run out of charge on the road,0.5,0.8888888888888888,1.5
I thought the advice would have some insight into the approximate traffic on the next portion.,-0.2,0.3,0.0
I saw in Rounds 1 and 2 that I was not performing optimally.  I took the chance on the AI and went all in on its advice.,0.0,0.0,2.7
I didn't really have a method.,0.2,0.2,0.2
I trusted it,0.0,0.0,1.15
if it did not seem accurate.,0.4000000000000001,0.6333333333333334,1.0
"My gut, really",0.2,0.2,1.0
"I tried it initially to see whether or not the advice was sound and, when it proved to be, I relied on it heavily.",0.06666666666666667,0.3,2.25
The AI matched my strategy,0.0,0.0,4.1
To attempt and see if it improves my time.,0.0,0.0,0.8
Failing in the sort distance rounds,0.0,0.0,1.4
I figured the AI computed the most effective math.,0.55,0.65,2.65
I assumed the AI was smarter than I was.,0.0,0.0,1.5
I chose to incorporate the AI strategy because it was correct both times that I used it.,0.0,0.0,2.85
It made sense to not charge to 100% the first time.,0.25,0.3333333333333333,2.85
The advice made sense within the rules of the game,-0.4,0.4,3.4
I chose the advice because it took time to determine how much time to charge in between stops.,0.2,0.2,0.8
i knew it would help me,0.0,0.0,0.4
"The first time, I was not sure the advice was useful so I deviated on my own path for the first couple of stops. The second time, I fully trusted the advice because I noticed in the last round, it was closer to the limit.",0.11875,0.3777777777777778,2.05
It was accurate.,0.4000000000000001,0.6333333333333334,2.35
"The AI tool has already """"analyzed"""" the route and anticipated the potential delay. I trusted the advice, but made my decision on how much to charge.",0.1,0.6,1.0
The advice that was provided was logical and closely followed to the pattern of thought that was beginning to emerge in my head,0.25,0.25,1.35
"Sometimes, I would do the math in my head and it sounded good, other times it seemed like I could do better on my own",0.41874999999999996,0.61875,1.4
I would assess whether it seemed to make sense and for the most part it did so I would follow the advice.,0.5,0.5,2.1
I did follow the advice.,0.0,0.0,0.6
Try to my knowledge,0.0,0.0,0.2
I chose to follow the advice because  it helped me be succesful in the game.,-0.4,0.4,0.6
i tried to use my way and justify it with the AI advice,0.0,0.0,1.4
It didn't seem to make sense.,0.0,0.0,2.15
excited to learn that I could stop and recahrge with the level traffic shown,0.375,0.75,0.2
the advice made sense according to my calculations.,0.0,0.0,1.85
I felt I followed the advice the first time but the results wasn't as good.,0.475,0.4666666666666667,0.8
i followed it,0.0,0.0,1.95
Was already planning on working the advice bits in when AI gave me a more specific way to do it,0.25,0.3125,1.0
"I wanted to see the AI's approach and if it improved my score than I based my next choices off of that, and it did help.",0.0,0.0,3.3
I tried to follow the advice and it also failed me. Understanding exactly how much time went off would have served me better in the game.,0.009999999999999998,0.32999999999999996,0.3
I got greedy to save time.,0.0,0.0,2.65
,,,2.5
I alway followed the advice because I felt like the game was beating me at that point.,-0.4,0.4,0.2
Because it seemed like good advice.,0.7,0.6000000000000001,0.4
Wanting to go one more extra exit before charging in hopes that the distance and time gained was offset by the charging time at the next exit.,0.16666666666666666,0.19999999999999998,2.35
"Honestly, I chose to follow the advice because it seemed like the best option as I did not do so well in the last round.",0.35000000000000003,0.41666666666666663,3.9
"If it seemed wrong, I didn't follow it.  See previous explanation. ",-0.3333333333333333,0.5333333333333333,0.9
"When compared to the alternative options, the advice given yielded the most effective result. This was apparent since several round had the same travel times and traffic making comparing strategies easy. ",0.19761904761904764,0.42976190476190473,2.7
I didn't use the advice because I was learning the game for myself and started to understand it better. If i was just blindly following the advice I don't think I would have learned as fast. I was limit testing figuring out what works and doesn't the first two games.,0.11000000000000001,0.38666666666666666,2.65
I was confused at first at how best to utilize the charge and I also did not realize the stop I was on was the stop we were talking about.,0.2833333333333333,0.4444444444444444,2.7
"I already had a game plan. Usually, it aligned with the advice, but I wanted to just go with my plan.",-0.325,0.325,2.25
The AI didn’t combine more than one stop so I thought it a better strategy to combine them instead of listening to the AI.,0.5,0.5,2.95
I thought I could squeeze out more time if i modified the numbers,0.5,0.5,2.3
I tested the advice and it appeared to work.,0.0,0.0,4.1
I think that AI would understand the mechanics of traffic and charging times more accurately than I can.,0.45000000000000007,0.5666666666666667,2.35
The confident in the AI,0.5,0.8333333333333334,2.35
"I did the math on it and saw that it wouldn't leave me stranded, so it seemed worth trying.",0.3,0.1,3.6
"After changing my strategy a few times, I realized that I was not getting the times I wanted. I followed the AI advice to see how much better it was and it turned out to be better",0.26666666666666666,0.3666666666666667,1.95
sometimes it was worth looking ahead,0.3,0.1,1.75
I choose to because it seemed more reliable than guessing myself.,0.5,0.5,0.8
It seemed very logical and guided me. I wasn't as familiar with the game and then realized what I was doing wrong once the AI started advising me.,-0.05000000000000002,0.53125,2.5
Depending on what I calculated and where I was at percentage wise.,0.7,0.9,0.0
I would do the math myself and compare.,0.0,0.0,3.0
I did because it seemed to work.,0.0,0.0,2.65
I didn’t trust the ai because the advice wasn’t always helpful. There was one round when I followed it but the advice on how much to charge wasn’t that helpful.,0.0,0.30000000000000004,0.2
I was doing what the advice told me to do anyway so I always went along with the advice,0.0,0.0,3.45
"As i stated earlier, it was aling the lines of my natural thought",0.05,0.45,0.6
it made sense and it worked,0.0,0.0,1.55
I trusted the researchers and the explanation made a lot of sense to me,0.0,0.0,3.7
"The advise was helpful for the shorter trips, but it did not really translate when trying to solve the long trip scenarios ",-0.07500000000000001,0.30000000000000004,2.9
The advice was very helpful so I took it and made my way this way,0.2,0.3,0.2
When i did no do well on the first attempts,0.25,0.3333333333333333,1.35
"Used advice, but took off some percentage to save time ",0.0,0.0,2.5
I did incorporate the advice into my strategy.,0.0,0.0,1.55
Based on the feedback from previous charged point,-0.16666666666666666,0.16666666666666666,0.0
The advice followed the thought process I had already had.,0.0,0.0,0.6
I figured that the advice would help me change my strategies which took effect the next few rounds,-0.1,0.05,3.1
The AI really helped me charged when necessarily.,0.1,0.6,1.5
Ok first would not at all consider that AI as a previous answer said. I found it's suggestion logical and I knew I hadn't fully found the best strategy so decided to try it out and I think it helped me figure out how to do ok.,0.3888888888888889,0.3416666666666666,3.7
"When it worked the first time, I decided to follow its advice because my strategy wasn't working.",0.25,0.3333333333333333,2.65
When I thought it would take longer to follow it.,0.0,0.0,0.95
The results were better than my own decisions.,0.55,0.75,1.15
It was difficult to incorporate the strategy in the long rounds.,-0.275,0.7,2.7
bonus,0.0,0.0,1.9
using a combination of tactics,0.0,0.0,2.6
"I was having a hard time getting under 500 minutes, so any advice is helpful. ",-0.2916666666666667,0.5416666666666666,2.85
the rationale behind was positive,-0.08636363636363638,0.6227272727272727,1.5
,,,0.0
Sometimes I wanted to play it a little risky and gamble with not having enough charge to make it in maximum traffic.,-0.09375,0.5,1.55
nothing,0.0,0.0,0.2
It was pretty good advice.,0.475,0.8,3.5
"I thought it would be wise to and also, the advices were on point.",0.7,0.9,1.55
"Initially I had """"range anxiety"""" and wanted buffer the first few rounds.  After reading the rationale, I charged only enough to meet the max actual traffic times.",0.008333333333333331,0.33888888888888885,3.35
"N/A, I followed the advice",0.0,0.0,3.1
Because when i tried the advice it significantly lowered my time.,0.375,0.875,2.65
I would have done that anyways,0.0,0.0,0.0
it was a good advice,0.7,0.6000000000000001,0.8
Depended on whether I had a different strategy for that round.,-0.1,0.5,3.75
The advice seemed rational to me.,0.0,0.0,3.4
To get a judgment on accuracy the first time and then based on results for the second round.,0.016666666666666663,0.24444444444444446,2.65
